evt_id,evt_tx_hash,from,accAddress,amount
0,0x9dd7603a78a1f02f6a5f289bade3e77fb38b6ec88b273cbd496f09b377b520cf,0xD3c4b71DF30d98a7776DE72bc0a571aFf5594B67,dydx199fjq4rnfvz24cktl8cervx8h8e90ruk5644xz,3007.03456
1,0xe2b5e78f6188ad98b00be4878622ebedaae9ef5b777559df811af9d7de4d5bc4,0xF404080E350E2E7A7Ad8E72b6bf5CB3aC8C1Caec,dydx160n4rwm854v06ppkly2pt0zc9rpwlm5y0kyjtc,1014.68
2,0xe73417722922c0245342497691a11d53b2931cc1a4a7f1dbb776a7eb47102a2d,0x3509aa5d1345Fde8197dD414C0cA6996431FafFF,dydx1j4ljutnh66r55a29jydgca7pfmhd40e3kpwlky,1097
3,0x73ecfce30a80941691931f56c04d98b9cc927d66a6cc655540eefa0f050c505f,0xdc6a34366B3B23B7A781827697A52dEa06a5dF24,dydx1vl5ty47uwpfv4mcutwv4zam09mvvvdgy2m9e59,2000
4,0x38bf5372f99678f9248d61a96e064b494c057968e966136c7c43d3720170d540,0xE206d9566F3Bd13446AB95FaD6638A54BF3E10f7,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,1005
5,0x470184289ad2377d1237aad763b8c8d86a05265f4d20dc85fcd9db175cec43ec,0x34be7af97BE60AFA8ebB97f5a29D30dDa54cb624,dydx15wphegl8esn7r2rgj9j3xf870v78lxg8phy9w9,1000
6,0x61928e7125b4ed0835e569048683479a2fd4a5b09692efa8f285438797d508f1,0x763F81348fa2e2d6aD6629C5a00E4ba3F900d04a,dydx1mwhwf9rqh64ktr8t8xnz37nhg7vvy42ea2vy9g,1000
7,0x68c70f48375bff687e73c38eba1c32b91944f97866cfc8b33d7df353fcdabd33,0xB4084F25DfCb2c1bf6636b420b59eda807953769,dydx140l6y2gp3gxvay6qtn70re7z2s0gn57z9qaqxk,1000
8,0x5f2a4c1a8f7035f4c01d1ca792cc42c88eb48a5aaefbbc698ea2db44d9e8b941,0xBC58c2Ea268aaFE1f456062cBA5193C5589d726f,dydx1ml44cenapnawcn4xy3w36jce0rg78dm8cv6j2z,49
9,0x11f9e4341b7bb488905bfc779cc179a45cca9d4dca093bd5fb3f69df9554286d,0xb19345E3079595DA07b070EC5CaD57D8d56eF95B,dydx1thl5syhmscgnj7whdyrydw3w6vy80044mlmz2n,1010
10,0x736289908c2319ea6bf26f4337c2f23b6c625f8ca74ca9ce91e4904122f810b3,0xBC58c2Ea268aaFE1f456062cBA5193C5589d726f,dydx1ml44cenapnawcn4xy3w36jce0rg78dm8cv6j2z,980
11,0xba667cddcd7b157ad6466e7ea8664094e375aa1b6e55c8e3c725564b0f0c21e9,0xBC58c2Ea268aaFE1f456062cBA5193C5589d726f,dydx1gffkd68xcnfpzcsplf0fsuetxkysunudlrneyl,1020
12,0x8c5ccd4e8dc25dae6b77755af4cf06fb28572287f43f56d1b38a5cdc95a01311,0xE40F80618324C814cD444434670a44ba4583aE38,dydx1d9e68e7glce5pehh8qk0gcx9l06tjeh0kr5eg7,1000
13,0x6ebfb132765dfd210c61e9c8d93cc345a6d37bb1d6a1d46f5991e7e7dfd54803,0xE40F80618324C814cD444434670a44ba4583aE38,dydx1d9e68e7glce5pehh8qk0gcx9l06tjeh0kr5eg7,10
14,0xe8fc3da32e3eae6867762ffc3914d75700166c2374bf66d1d442907685645b17,0x04B11eA5F3E939401e126D15401c7316373c74eC,dydx1x20lytyf6zkcrv5edpkfkn8sz578qg5suyy80q,1025
15,0x68a646e8618555bcf5ebca95212c37b886a7ac6298d31663455ff0b48083a927,0x6D265C27474de20Cd1d04A89467D777EC5Be7a7f,dydx1ql40pjftdwl6qtmgk0fn0r02spvss96ekrjj63,1010
16,0x639654bc1a7a309fda98dc3f88c655d875b012ab95a297ccb067a7b89b53f5b1,0x6D265C27474de20Cd1d04A89467D777EC5Be7a7f,dydx1y29mkku4zqz8phrxc8zgu7jfnw504leqgs65fe,1010
17,0xc2a1971a6da4abdee127632414a11eacb96262541646da677e9b8f161e407383,0xe4e3680C9A204D222723aa855D972277e728aE3c,dydx1jvct2ck9hptwyzrr0umfvwxed7n9nhhj2sldxc,1017.4190900000001
18,0x3a4d6420d8a0074e972acce27f37042d64b6ba47169606ec031d501861a41004,0x27B80D3d37C0068e15610b064567f6797535ED16,dydx1xwk95hxuude0zz4syvymlkrhjmjkqga79cvcpj,500
19,0x36166868654a14ffb45453bc0da3a91361543c5af8289ad50601445348f20fff,0x27B80D3d37C0068e15610b064567f6797535ED16,dydx1xwk95hxuude0zz4syvymlkrhjmjkqga79cvcpj,2000
20,0x4c0b788f0372a2a0c7868e4fff81d4b1d45b824ddbc550cc0baeb6e895316f1d,0x64853Ae58EDe560879d076917cF3e445201E0D5A,dydx1s7zqmy708qhy4m7j3vrmydj2d0zr4wdfqznqt7,1001
21,0xce2cf5daab34bbbf0a7411e6b83ed1254fa2cbfa116b665fc134deb4a3a285eb,0x906379994Adc75B2b5553a7ef7B9Dd7Dccf6f04C,dydx1z0sjs7vr8s7gy7je3dzyn8hngdkdd9g305mzns,1000
22,0xece1d9d89f339c578ae8dc9e4f0891c38674ae592660662d12912abaafc9f05c,0x7f17f452074E929d87e72fC879212198052e1D82,dydx1z29qzgp9pxt69462mk26gyc82k2sdxg2crwr9d,1000
23,0x3f532fc51c43d55dc800c4c89a527b51a2e873aa0d6815f709bf7fb8a5852576,0xb17447bA8E4bCe59F18c26e308AaB83f36d8B19b,dydx1et3h08wt6y9h0zjkp6jxpr42hm58avcd9mcppt,1050
24,0xb02bfa1558f5feadf3ca7062a87a695495b88af2a82be08d1d9d34e1006cfbeb,0xB79294D00848a3A4C00c22D9367F19B4280689D7,dydx1n56zk7kmv40g5zrz5psx7yysa0gk86mfhk7d8h,1000
25,0x06ab38ce9d91bfa6f10e5baf8c133ed1b75f89dbab1dd3256f4381b84dc7d749,0x78EECE71DD72C782A7697da759b2775EDD067d24,dydx1dm25afltds6v8te6m2lt6p0t3m4ygah32qhgtz,1000
26,0x462fcb6b76d76bd0a229d03e91acf29552173599f882ab10ed121660cbde1140,0xFe26832d3580E0ADe4813F9e60E7C17b45E92cBa,dydx1t7dum0wcdk9c0ly6fhd5mxcavg6plhw7wgqgwl,1062.51
27,0x1185972785504bb4b2caf1c1a2f2b7280fd14df179fd644f7c3e6d64198c06c4,0xfeef177E6168F9b7fd59e6C5b6c2d87FF398c6FD,dydx1kmt4qun5wj6qays8hpkp3ea2anvq3m70slllnw,1001.19374347
28,0xde747f5e718c9bb10b137c42592db2086118d07c6bfcb562e0c0875af3f91d17,0x5E91ef7EE904b434CaEbe032e8e773e40cb3F36E,dydx1y66c5c7zpcqxqgqec9ttutuwu60qkzav22h3ue,20
29,0x760f055c9ca4493d72494040f288e8d4608c82be6cbf5409ada777516b888afc,0x5E91ef7EE904b434CaEbe032e8e773e40cb3F36E,dydx10cmpk9tf430rfhkz8nvzcrq7vng5qvpkm8jkj3,10
30,0xaddfd7f41a0d0c94d3617f4b84370bad549e257f34fda3b2686bd50ab81a0d79,0xE206d9566F3Bd13446AB95FaD6638A54BF3E10f7,dydx168la65zj2868vqxyd3zrvaz3vhm85430dxy4q2,101
31,0x71d54eea9ee8500f6fa66092971ba0f4d402a65a12dfcc50cf1ed87bcffb4eae,0x6615B9BBb024E2c7F84c48D0035De2a8980F0c97,dydx1a9lm6t9qalz53jrp0q6p50q2cxeqnwshse78q6,1000
32,0xd3107c165154f2fc3238be84afc3d7045a5697ae50a5be8c9cf0c059e0728135,0x3Ec533c187Ff65558EB910C34C0C689b0447943c,dydx1y6ncfxx8x9sqec97pehjw0k32slw63852paygz,1073.3500000000001
33,0xf3fdc1ce871ab12beff9bc6f641c0955c9dcf0f7eca33d41a55149dc2dbf62ae,0x2a4af3120eAc7223168ccDCD34a2a4b4884f8E0b,dydx1fs0t34g628xdqc8alfefnadq2x3qawt8de3dka,1000
34,0x4706b6b24a8e3ae4d191d3aaf9184d05e6bcab930f6e01b8380d0386a1a29dbf,0x85ACF9B3A8747a751c91631035ba6aD3946e8E13,dydx1y66c5c7zpcqxqgqec9ttutuwu60qkzav22h3ue,1
35,0xf2488a69c3a258839090a7838e823e116dcbb2c0c4f36e181d2769ece25b759a,0x32Edb9f8d98dAE0eAcb7e31E40b2a792cf9BCaAB,dydx1y66c5c7zpcqxqgqec9ttutuwu60qkzav22h3ue,1
36,0x86accf71a12c5b470c834101658c65be9cf8555d82ec90357db150938ce5350c,0x97511657558E83B984aE32dB30A27769DD155f20,dydx17mr6npw6fgrg5amjgq4f7mkquuxt3tzcquq5wz,5
37,0x223116410b8a4386fe69197c6c6989085b791b09e03f04910e72a17c553864ed,0x7dFd6d23c939b1dC7c09dD283612A2463C922f6A,dydx1xpur2dpjx3jkxe34xq6xxvfkvcungct9vvenyetpxsmrjcnyvgcrvdfkvgursepk89nqy4pdta,0.000000000000000001
38,0x8738a6ca010e3ca1908ceb8e9bc954c87074b45dbc5bc3e8cbc41c6dc962606c,0x7dFd6d23c939b1dC7c09dD283612A2463C922f6A,dydx1xpur2dpjx3jkxe34xq6xxvfkvcungct9vvenyetpxsmrjcnyvgcrvdfkvgursepk89nqy4pdta,0.000000000000000001
39,0xb5861755f8bec797d3162190d15b81349673850bfef28486ef13c8e879ab127e,0xA9b4823ec2718Fb09BD5FC21323B2BE5DD0aDDf6,dydx1rrm2vuudrg28sj54vt5a5wzplzaxfszdnmnh6q,1
40,0xeaf2b9194ae4f3dc48cbd0c1d7ee7a4e5ab6bbc9eae64c575171fb452663093b,0x7dFd6d23c939b1dC7c09dD283612A2463C922f6A,dydx1xpurxvpkv5uxycecxs6ngctx8yunydesxumnzvp589jkyvekxenrwvfc8y6xyd3svcusxzczsc,0.0000000000000001
41,0x0322cff1b5dc42f78300f7a640d1dd56c0bdfad585baa7f4f44f9ec5b8e5bcfd,0xea1E36f34FbC97Ce3c6a8984287993CaFB7faD7A,dydx1xpurjepsx9jkvvnxxcmkgcnxv4jkxwrzvyunjefsxgekvvpjxq6kgctrxvcrze3e89sszguzct,5
42,0x010dbc8492df812c3e5cfed52c1c41d4a8d0ad45e1b8838e7945ac2c97be94a1,0xFfCE98819BF0f7ACEA1Ce4d6548f1a4AEa77BD9b,dydx1xphghjz9ftueyurhzpy7kdn0wxy5kc8erf6tgq,0.000000000000000123
43,0x796721173c0bd4415a955613f5e8144b7613a85eb870738e0dd0723eee2470b7,0xea1E36f34FbC97Ce3c6a8984287993CaFB7faD7A,dydx1n5q77tm8m0lwezafncpr7qs9mtpsr7v6s8rdvs,5
44,0x86ab60c42ccf62ee9eabf13c73e9f2b9c4f5f4010addd929b3ae9c39f928b7d0,0xFE003428a2c67bFd3B51b6c8D9a0b28fDfD3B8Bf,dydx19wsh3g3d2vnx68zym4wpw0et2xnfwagzh2rz7d,2055.60463037
45,0xfdb4c6265ecd1ffe514d52b2cdd4241024a6fb0eea2661b8f5ad833bd1010658,0xD30360b654C7fB29B3E07f49e8239d84280be9Dc,dydx1k2mlt4akhddh8gz9r3227ruuaestgdczrye6t8,2
46,0x4e628c3acfc68e558f0988e3090ded12eeb5d77a622981de324439928e6a35a4,0xD30360b654C7fB29B3E07f49e8239d84280be9Dc,dydx1k2mlt4akhddh8gz9r3227ruuaestgdczrye6t8,41
47,0x2661bbed2e7dbbf72053b9fb4dd9a5825620ac825cd3fdf0161b5c262077868d,0x964c2443A52563bbfd059e1839c7aC701406BfEB,dydx1m2lhu7hrx67w9zcktzjcryplf6gp7jmh8fgjps,1
48,0x11e10d07cbcb44b262e5819499c958a9666364d5011b2ff33b1807c601fbf543,0xcF7B1161D2616d842C5dfA4F1F7cfa4D8f3ac99D,dydx1w7zmxnra5ckhzs3xhrxyneu0d8cutxhy75wktw,5
49,0x404a423eab8f1a5b7c1e437de11aaecbd469805cd4844c5ef21d2c35476ec7c9,0x964c2443A52563bbfd059e1839c7aC701406BfEB,dydx1m2lhu7hrx67w9zcktzjcryplf6gp7jmh8fgjps,3999.0000000000005
50,0x20fa3ff0a1620231937b418381144c7bc253d7199bb192cf08f8a564abb46c61,0x7F7Ec812297f74c80Fc8bCaf11ac881DC88eb216,dydx1xs55snr6lxsalaqrwc63cxlmgn437zzvjmx6tw,0.4
51,0xc435fe91bd6b3883259eb4a6dab4d547156411929ce2e4cf26bde1ee9ee87a3c,0x7F7Ec812297f74c80Fc8bCaf11ac881DC88eb216,dydx1xs55snr6lxsalaqrwc63cxlmgn437zzvjmx6tw,0.1
52,0x6ebbb00144e0fbb6cd94cb74b6295c6fac15c410bd5101a40f19e248acf7c2f2,0x38631c49b53D1E5b1C0148648Fa72BE4E30f1e25,dydx1ct3qfgmx74fzkgzehun7ayusjaqv0dyc5rp300,10
53,0x4c066bacf92814fac451d00cf13e3f5b634d3ad4ba468121cf65b28a46b344e2,0x95867541f02CEc53724E6e75A76d6BEe7d6BFE4d,dydx1r8srurperks9cgwy0untta4cl6xhu6swxch64l,10
54,0xb0de39e15f56d18d9df1866d2ca44ffc0032d494f2169bd4d94a4f26047f7391,0xE00B9f801762C6Ddf906F9e719b8ea4c42820077,dydx1lmly4sre7jkwt2dsshfqfvx9c9424pdqtlas64,10
55,0x9b0bbf50c1417014222921c6ea7d6bf64267fd7aa88750fabcdd372c132a3619,0xB4084F25DfCb2c1bf6636b420b59eda807953769,dydx140l6y2gp3gxvay6qtn70re7z2s0gn57z9qaqxk,503
56,0xea1a753b7d8a27311a9ab0f5b98629477417f4852d499b1ca6064cd7f73d2d19,0x593F7587B238769FeB296fFCfdd5CBF3f5E3a5C5,dydx1trkf4lw7gk5gjg6fm8ljs528cywgd0c40vk4y4,2.1
57,0x24e06b65543a2e24e018e77e9e901e08d1e86fa92ba4ea70a8070599a4749b1a,0xf0cAbbB8b8f9985Fda1E1146011ac2d714026453,dydx1kgs4uzmfqjlrhzjvmfz9w9pvqyzmut7ex00kdj,5
58,0x048027e9528b2b46f6db71962432c28b18434b6123db06171d6a8b73b9e425c0,0x34be7af97BE60AFA8ebB97f5a29D30dDa54cb624,dydx15wphegl8esn7r2rgj9j3xf870v78lxg8phy9w9,39.7
59,0xd37f2887ccd429b7f9fa8b45458ba60eb477e902c2947a19f864bcb24ebc3a82,0xDA80050Ed4F50033949608208f79EE43Ab91dF55,dydx1cpz0jtj6rkezzs7z8k5gy6py05sxdkmyfk768x,1490
60,0x5dca9cdb7976f32462efcd108b2a53d438124ad00a76fa0a5f8bc22e7fbcf224,0x3F1c99873baD90F997be760f28D56088f497D037,dydx1xsn84hy6hnheg9t6trqsr4avna0lfl6kwdatt7,8.123456789012346
61,0x72397566e838ac0a0c658c779e6660b5e5342f964010971766332a58089cf407,0xD6de66e193eE432D7b46E4f3228380A06c532338,dydx1xl8tkudx3jjsud0jwel0m68feer3dzjmuadrnm,10
62,0x0ba88c3b42d51f989aeee3acc162284eb5c7e454308fac4b18fa17f604891f56,0x593F7587B238769FeB296fFCfdd5CBF3f5E3a5C5,dydx1trkf4lw7gk5gjg6fm8ljs528cywgd0c40vk4y4,2.2
63,0x0d259007c47feb00b139cd94ec2f9bd21b51ec0e56289ea4fcba73d936a4aa6b,0x0FFB937e25e36edABB62480cf2D927e89A94e435,dydx104kfjy295yzs7ejvxe50ghhlj26usqeh4anaga,1.1
64,0x2d2aae8876ecdab712f1cbe526a3f641ca287d192fb8ffe8e30c680e38049aa5,0x661BD1df681A8293e856f766AcACa1D7A6608518,dydx1trkf4lw7gk5gjg6fm8ljs528cywgd0c40vk4y4,3.43
65,0xc91f3372e07967a6938bbe207417bb58f44a3d015f4c0fa006c082cb9f40d16e,0x452Dde67a0eD37Afd751D52cDFB228e305100892,dydx19rg26rfyvphtpuq2tk7knh7ul73ladu72f5m0t,1097.8
66,0xfca7c3b24b074d4f7a87ee70a1a3be5c7b117660ab7f40bfc75d9077f53051d9,0x38631c49b53D1E5b1C0148648Fa72BE4E30f1e25,dydx1ct3qfgmx74fzkgzehun7ayusjaqv0dyc5rp300,5
67,0x9aaa58c5b3005cb4cbcf3f1a1f5a2c9123beae99b05826002583fec40a37d003,0xcF7B1161D2616d842C5dfA4F1F7cfa4D8f3ac99D,dydx1w7zmxnra5ckhzs3xhrxyneu0d8cutxhy75wktw,95
